,name,rating,types,reviews,salary,jobs,interviews,Locations
6112,KerryIndev Logistics,3.7,Logistics,181,1.1k,--,4,Chennai +32 other locations
6113,Vilcart,3.7,Internet,181,430,5,15,Bengaluru +50 other locations
6114,GoMechanic,3.3,Internet,181,2k,--,55,Gurugram +23 other locations
6115,PPMS Field Marketing,3.9,Marketing & Advertising,181,502,--,11,Chennai +34 other locations
6116,Aptonline,3.3,IT Services & Consulting,181,1.1k,--,5,Hyderabad +6 other locations
6117,Magnit Global,3.3,Software Product,181,742,--,18,Vadodara +6 other locations
6118,Li & Fung,3.9,Electrical Equipment,181,695,4,6,Gurugram +12 other locations
6119,Krystal Integrated Services Limited,4.1,Facility Management Services,181,725,10,9,Mumbai +25 other locations
6120,Tata Memorial Hospital,4.1,Healthcare,181,619,--,10,Mumbai +10 other locations
6121,Relyon Softech,4.1,Software Product,181,901,1,19,Bengaluru +15 other locations
6122,Prione Business Services,4.4,Retail,181,809,--,6,Bengaluru +24 other locations
6123,Impresario Entertainment & Hospitality,4.2,Hospitality,181,622,--,5,Mumbai +16 other locations
6124,American InfoSource,3.3,IT Services & Consulting,181,835,26,17,Vadodara +2 other locations
6125,Fangs Technology,4.0,Consumer Electronics & Appliances,181,744,--,6,Chennai +24 other locations
6126,Labtron Equipment,3.4,,181,290,--,23,
6127,SVN SYSTECH INDIA,3.3,IT Services & Consulting,181,811,--,12,Mumbai +25 other locations
6128,Donear Industries,3.3,Fashion & Textile,181,820,6,8,Mumbai +19 other locations
6129,Holy Family Hospital,3.5,Healthcare,181,660,26,7,New Delhi +12 other locations
6130,Hindustan Media Ventures,3.8,Printing & Publishing,181,586,--,6,Patna +31 other locations
6131,Virinchi Technologies,3.2,IT Services & Consulting,181,1.1k,5,20,Hyderabad +5 other locations
6132,Jeena & Company,3.6,Logistics,181,640,3,10,Mumbai +24 other locations
6133,S V S Projects India,3.1,Engineering & Construction,181,580,--,11,Hyderabad +9 other locations
6134,Vehere Technologies,4.5,IT Services & Consulting,181,302,5,24,Kolkata +7 other locations
6135,Essencea Infoserv,2.7,BPO,181,483,--,18,Hyderabad +6 other locations
6136,Sunera Technologies,3.5,IT Services & Consulting,181,1.7k,--,25,Hyderabad +5 other locations
6137,Ravi Foods,3.9,Food Processing,181,588,--,9,Hyderabad +35 other locations
6138,Intense Technologies,3.5,IT Services & Consulting,181,1.2k,1,12,Hyderabad +13 other locations
6139,Advantage One Tax Consulting,4.0,Financial Services,181,531,--,11,Hyderabad +4 other locations
6140,Karam Safety,4.2,Industrial Machinery,181,723,--,8,Lucknow +22 other locations
6141,Mangal Industries,3.8,Auto Components,181,747,--,9,Tirupati +19 other locations
6142,Bambino Agro Industries,4.0,Food Processing,181,748,2,8,Hyderabad +30 other locations
6143,Laminaar Aviation Infotech,2.6,IT Services & Consulting,181,1.2k,--,17,Bengaluru +5 other locations
6144,Axa Parenterals,3.8,Medical Equipment,181,745,2,20,Roorkee +9 other locations
6145,Kriya NextWealth,3.6,,181,706,--,17,
6146,Mitsuba,3.6,Auto Components,181,726,--,6,Gurugram +13 other locations
6147,Epimoney,3.2,Financial Services,181,807,5,19,Mumbai +17 other locations
6148,Ess Kay Group,3.7,Industrial Machinery,181,618,--,13,Greater Noida +15 other locations
6149,Trellix,3.5,Software Product,181,1.4k,15,24,Bengaluru +3 other locations
6150,Sfc Solutions,3.6,Automobile,181,872,2,16,Chennai +19 other locations
6151,Architect Hafeez Contractor,3.0,Architecture & Interior Design,181,509,--,12,Mumbai +9 other locations
6152,Private Practice,4.5,,181,3.2k,--,16,
6153,Amentum,3.8,Defence & Aerospace,181,255,9,8,Bengaluru +21 other locations
6154,GVK Group,3.8,Engineering & Construction,181,709,--,12,Hyderabad +38 other locations
6155,Birdeye,3.1,Marketing & Advertising,181,1k,22,30,Gurugram +4 other locations
6156,Sistema Shyam Teleservices,4.9,Telecom,180,242,1,--,Gurugram +42 other locations
6157,Feedback Energy Distribution Company,3.6,Power,179,568,--,7,Bhubaneswar +31 other locations
6158,SBL Knowledge Services,3.0,IT Services & Consulting,180,932,--,17,Madurai +15 other locations
6159,Jarvis Technology and Strategy Consulting,3.3,Management Consulting,180,797,2,24,New Delhi +38 other locations
6160,Monginis Foods,3.4,Food Processing,180,690,--,8,Mumbai +28 other locations
6161,Manikaran Power Limited,3.3,Power,180,729,1,25,New Delhi +13 other locations
6162,Oswal Group,3.8,Fashion & Textile,180,677,3,12,Ludhiana +15 other locations
6163,U.S. Polo Assn,4.4,Retail,180,484,--,8,Bengaluru +54 other locations
6164,Heavy Engineering Corporation,3.6,Engineering & Construction,180,730,--,11,Ranchi +9 other locations
6165,Nippon Konpo,4.1,Logistics,180,546,--,9,Gurugram +17 other locations
6166,Simpa Energy,4.6,Power,180,339,--,1,Noida +32 other locations
6167,Citylife Retail,3.3,Retail,180,361,--,7,Kolkata +45 other locations
6168,Global Hospital Pune India,3.9,Healthcare,180,541,--,7,Mumbai +19 other locations
6169,Lithium Urban Technologies,3.5,Urban Transport,180,695,1,9,Bengaluru +13 other locations
6170,Kamdhenu,3.7,Building Material,180,559,6,10,Gurugram +44 other locations
6171,Reliance Corporate IT Park,4.0,,180,685,--,8,
6172,Vestian Global Workplace Services,3.3,Real Estate,180,830,2,6,Bengaluru +16 other locations
6173,Wepsol,3.5,IT Services & Consulting,180,820,7,9,Bengaluru +22 other locations
6174,Starworth Infrastructure Construction,3.7,Engineering & Construction,180,738,7,12,Bengaluru +8 other locations
6175,Swelect Energy Systems,4.0,Electrical Equipment,180,508,--,15,Chennai +41 other locations
6176,Jai Kisan,3.2,Internet,180,560,--,15,Mumbai +32 other locations
6177,National Aerospace Laboratories,4.3,Defence & Aerospace,180,786,--,14,Bengaluru +2 other locations
6178,OneAdvanced,2.9,IT Services & Consulting,180,1.1k,13,20,Bengaluru +6 other locations
6179,Oxford University Press,3.3,Printing & Publishing,180,943,29,8,New Delhi +29 other locations
6180,Bentley Systems,4.1,Software Product,180,1.4k,35,21,Pune +7 other locations
6181,Central Institute of Plastics Engineering & Technology,3.7,Education & Training,180,630,--,4,Chennai +36 other locations
6182,Eicher Trucks and Buses,4.5,Automobile,180,550,--,12,Indore +53 other locations
6183,United Nations Development Programme,4.1,Non-Profit,180,507,--,16,New Delhi +59 other locations
6184,MasterSoft ERP Solutions,3.0,Software Product,180,938,13,18,Nagpur +14 other locations
6185,Ghatge Patil Industries,3.7,Industrial Machinery,180,895,2,3,Kolhapur +8 other locations
6186,National Aerospace Laboratories,4.3,Defence & Aerospace,180,786,--,14,Bengaluru +2 other locations
6187,ANEWA Engineering,3.8,Engineering & Construction,180,959,31,4,Hyderabad +1 other locations
6188,Oxford University Press,3.3,Printing & Publishing,180,943,29,8,New Delhi +29 other locations
6189,OneAdvanced,2.9,IT Services & Consulting,180,1.1k,13,20,Bengaluru +6 other locations
6190,Eshopbox Ecommerce,3.0,Internet,180,628,7,42,Gurugram +5 other locations
6191,A2Z Infraservices,4.0,Facility Management Services,180,454,--,10,New Delhi +22 other locations
6192,RT Network Solutions,3.4,IT Services & Consulting,180,602,2,14,Kolkata +34 other locations
6193,Translumina Therapeutics,3.4,Healthcare,180,585,7,10,New Delhi +16 other locations
6194,Maschio Gaspardo,3.7,Industrial Machinery,180,741,7,13,Pune +26 other locations
6195,PC Financial Services,4.1,Financial Services,180,512,1,11,Gurugram +4 other locations
6196,Allset Business Solutions,3.8,BPO,180,974,--,15,Chennai +11 other locations
6197,MaxVal Group,3.2,IT Services & Consulting,180,1.1k,2,22,Coimbatore +8 other locations
6198,Healthplix Technologies,3.0,Fitness & Wellness,180,1.1k,15,28,Bengaluru +30 other locations
6199,Pawzz,4.6,,180,3,--,94,
6200,Healthplix Technologies,3.0,Fitness & Wellness,180,1.1k,15,28,Bengaluru +30 other locations
6201,MaxVal Group,3.2,IT Services & Consulting,180,1.1k,2,22,Coimbatore +8 other locations
6202,MSL Driveline Systems,4.3,Auto Components,179,631,--,3,Nashik +8 other locations
6203,Nabard Consultancy Services,3.7,Management Consulting,179,501,--,16,New Delhi +57 other locations
6204,Woodrock Infotech Private Limited,2.9,BPO,179,306,3,12,Kolkata +5 other locations
6205,Paisalo Digital,3.5,NBFC,179,431,1,16,New Delhi +61 other locations
6206,Sulphur Mills,3.6,Agro Chemicals,179,829,13,13,Mumbai +31 other locations
6207,Kolors Healthcare,3.7,Healthcare,179,700,7,16,Hyderabad +31 other locations
6208,River Engineering,3.6,Industrial Machinery,179,850,5,9,Greater Noida +10 other locations
6209,Lal Baba Seamless Tubes,3.0,Industrial Machinery,179,794,--,10,Haldia +6 other locations
6210,Market Xcel Data Matrix,2.7,Analytics & KPO,179,627,--,12,New Delhi +30 other locations
6211,Aurus,2.7,FinTech,179,1.4k,6,30,Pune +4 other locations
6212,FreshersNow,4.0,,179,221,--,55,
6213,Graygraph Technologies Private Limited,4.4,IT Services & Consulting,179,599,1,32,Noida +5 other locations
6214,Radiant Appliances,4.1,Electronics Manufacturing,179,717,1,13,Hyderabad +6 other locations
6215,Ayoki Fabricon,3.7,Engineering & Construction,179,703,13,7,Pune +26 other locations
6216,Hindustan Platinum,3.4,Metals & Mining,179,1.2k,5,20,Mumbai +4 other locations
6217,Prgx India,3.4,Accounting & Auditing,179,1.3k,65,14,Pune +2 other locations
6218,Miraj Group,4.0,Printing & Publishing,179,759,--,13,Udaipur +26 other locations
6219,NeST Digital,3.5,IT Services & Consulting,179,1.3k,106,18,Kochi +9 other locations
6220,Volante Technologies,3.3,FinTech,179,1.5k,1,19,Chennai +5 other locations
6221,Jaslok Hospital and Research Centre,4.0,Healthcare,179,744,10,9,Mumbai +9 other locations
6222,INOXCVA,3.2,Engineering & Construction,179,766,12,9,Vadodara +15 other locations
6223,rebootXP,3.0,Management Consulting,179,252,12,13,Noida +4 other locations
6224,CleanMax Enviro Energy Solutions,4.3,Power,179,829,40,20,Mumbai +28 other locations
6225,Eros Group,4.0,Real Estate,179,726,12,16,New Delhi +14 other locations
6226,Blue Tokai Coffee Roasters,3.8,Beverage,179,642,6,11,New Delhi +10 other locations
6227,Bhavna Corp.,3.5,IT Services & Consulting,179,978,--,19,Noida +7 other locations
6228,Tech2Globe,4.1,IT Services & Consulting,179,293,17,23,New Delhi +1 other locations
6229,Admiral Solutions,3.2,IT Services & Consulting,179,922,3,11,New Delhi +4 other locations
6230,TVS Automobiles Solutions,3.6,,179,784,--,6,
6231,Wellspring Healthcare,2.7,Healthcare,177,496,--,7,Mumbai +27 other locations
6232,Institute of Language Management,4.2,Education & Training,178,207,--,16,Bengaluru +12 other locations
6233,Kapil Chit Funds,4.0,FinTech,178,372,--,4,Hyderabad +47 other locations
6234,Lohum Cleantech,3.4,Semiconductors,178,647,3,22,Greater Noida +9 other locations
6235,Cubastion Consulting,2.9,IT Services & Consulting,178,1.1k,12,22,Gurugram +5 other locations
6236,Gpt Infraprojects,3.9,Engineering & Construction,178,551,5,7,Kolkata +25 other locations
6237,Shankar Packagings,2.6,Packaging,178,833,2,10,Vadodara +6 other locations
6238,SYNCHRONIZED SUPPLY SYSTEMS,4.0,Logistics,178,622,--,10,Gurugram +19 other locations
