,name,rating,types,reviews,salary,jobs,interviews,Locations
0,TCS,3.3,IT Services & Consulting,1.1L,10.1L,4.4k,11.8k,Bengaluru +441 other locations
1,Accenture,3.7,IT Services & Consulting,73.1k,6.9L,36k,9.3k,Bengaluru +259 other locations
2,Wipro,3.6,IT Services & Consulting,64.8k,4.9L,371,6.8k,Hyderabad +373 other locations
3,Cognizant,3.7,IT Services & Consulting,61.2k,6.1L,469,6.4k,Hyderabad +231 other locations
4,Capgemini,3.6,IT Services & Consulting,53k,4.9L,2.1k,5.5k,Bengaluru +180 other locations
5,HDFC Bank,3.8,Banking,52k,1.5L,301,3k,Mumbai +1844 other locations
6,Infosys,3.5,IT Services & Consulting,48.6k,5.3L,2.2k,8.4k,Bengaluru +243 other locations
7,HCLTech,3.4,IT Services & Consulting,45.8k,3.9L,234,4.5k,Chennai +231 other locations
8,ICICI Bank,4.0,Banking,45.7k,1.5L,14,3k,Mumbai +1442 other locations
9,Tech Mahindra,3.4,IT Services & Consulting,43.1k,2.9L,607,4.6k,Hyderabad +322 other locations
10,Genpact,3.6,Analytics & KPO,42k,2.4L,727,3.9k,Hyderabad +181 other locations
11,TP,3.8,BPO,38.2k,98.2k,1.6k,2.2k,Mumbai +254 other locations
12,Jio,4.4,Telecom,33.5k,62k,--,4.4k,Mumbai +1956 other locations
13,Axis Bank,3.6,Banking,33k,1L,215,1.9k,Mumbai +1516 other locations
14,Concentrix Corporation,3.6,BPO,32.1k,1.3L,9,2k,Bengaluru +181 other locations
15,Amazon,3.9,Internet,31.3k,1.5L,2.6k,5.9k,Bengaluru +515 other locations
16,Reliance Retail,3.9,Retail,27.2k,75.8k,121,2k,Mumbai +1157 other locations
17,iEnergizer,4.6,BPO,26.9k,24.7k,92,1.5k,Noida +51 other locations
18,LTIMindtree,3.6,IT Services & Consulting,26.4k,2L,562,3.5k,Bengaluru +144 other locations
19,IBM,3.9,IT Services & Consulting,25.7k,2.2L,2k,2.6k,Bengaluru +161 other locations
20,HDB Financial Services,3.9,NBFC,25.5k,49.7k,2.1k,1.1k,Mumbai +1090 other locations
21,Larsen & Toubro Limited,3.9,Engineering & Construction,23.8k,75.4k,263,1.9k,Chennai +761 other locations
22,Deloitte,3.7,Management Consulting,23k,2.6L,2k,3.3k,Hyderabad +182 other locations
23,Kotak Mahindra Bank,3.6,Banking,22.3k,86.9k,165,1.4k,Mumbai +689 other locations
24,Reliance Industries,4.0,Oil & Gas,20.1k,73.6k,77,1.6k,Jamnagar +819 other locations
25,Vodafone Idea,3.9,Telecom,17.5k,49.3k,80,693,Pune +704 other locations
26,Bharti Airtel,3.8,Telecom,17k,50.1k,190,1.1k,Gurugram +788 other locations
27,BYJU'S,3.2,EdTech,16.3k,50.7k,1,2.1k,Bengaluru +321 other locations
28,WNS,3.3,IT Services & Consulting,15.2k,70.5k,101,1.3k,Pune +65 other locations
29,IDFC FIRST Bank,3.9,Banking,14.5k,50k,33,967,Mumbai +724 other locations
30,Ernst & Young,3.4,Management Consulting,14.5k,1.5L,5.2k,1.3k,Bengaluru +134 other locations
31,IndusInd Bank,3.4,Banking,14.2k,52.2k,139,773,Mumbai +796 other locations
32,AU Small Finance Bank,3.8,Banking,14.2k,29.8k,222,704,Jaipur +798 other locations
33,Tata Motors,4.1,Automobile,14.1k,43k,181,1.3k,Pune +507 other locations
34,Muthoot FinCorp,4.6,NBFC,13.1k,9.2k,67,2.4k,Bengaluru +1120 other locations
35,Bajaj Finserv,4.0,NBFC,13k,31.2k,2,757,Pune +1190 other locations
36,Flipkart,3.9,Internet,12.9k,55.9k,104,1.7k,Bengaluru +553 other locations
37,PwC,3.3,Management Consulting,12.5k,1.2L,1.2k,1.6k,Bengaluru +135 other locations
38,Mahindra & Mahindra,4.0,Automobile,12k,40.8k,2,877,Pune +565 other locations
39,Infosys BPM,3.5,BPO,12k,76k,62,1.1k,Bengaluru +95 other locations
40,HDFC Life,3.9,Insurance,12k,33.3k,110,807,Mumbai +712 other locations
41,DXC Technology,3.6,IT Services & Consulting,11.9k,74.8k,193,901,Bengaluru +130 other locations
42,Bandhan Bank,3.7,Banking,11k,25.2k,19,758,Kolkata +1007 other locations
43,Digitide Solutions,3.5,IT Services & Consulting,10.3k,27k,328,574,Hyderabad +272 other locations
44,Mphasis,3.3,IT Services & Consulting,10.2k,74.7k,55,936,Bengaluru +64 other locations
45,Yes Bank,3.7,Banking,10.1k,42.6k,198,559,Mumbai +541 other locations
46,Tata Steel,4.0,Iron & Steel,9.8k,34.8k,--,1.1k,Jamshedpur +226 other locations
47,Quess,3.8,Recruitment,9.7k,31.3k,33,547,Bengaluru +755 other locations
48,Asian Paints,3.9,Chemicals,9.5k,26.3k,101,867,Mumbai +556 other locations
49,Maruti Suzuki,4.1,Automobile,9.5k,28.3k,728,791,Gurugram +455 other locations
50,Startek,3.1,BPO,9.4k,25k,275,644,Bengaluru +103 other locations
51,UltraTech Cement,4.2,Building Material,9.4k,25.2k,44,804,Mumbai +538 other locations
52,Paytm,3.2,FinTech,9.3k,34.5k,875,902,Noida +422 other locations
53,Bajaj Finance,3.9,NBFC,9.1k,23.1k,6.5k,441,Pune +993 other locations
54,Shriram Finance,3.9,NBFC,9.1k,15.4k,10,454,Chennai +1117 other locations
55,Sutherland Global Services,3.4,BPO,9k,35.5k,298,804,Chennai +82 other locations
56,Equitas Small Finance Bank,4.4,Banking,8.8k,13.9k,28,1k,Chennai +483 other locations
57,Wells Fargo,3.6,Financial Services,8.6k,62.3k,220,695,Bengaluru +27 other locations
58,EXL Service,3.6,Analytics & KPO,8.6k,44.9k,1.6k,920,Noida +61 other locations
59,Cipla,4.1,Pharma,8.6k,26.4k,34,602,Mumbai +294 other locations
60,Ericsson,3.9,Telecom,8.4k,42.8k,34,475,Noida +160 other locations
61,Samsung,3.9,Consumer Electronics & Appliances,8.3k,26.5k,29,633,Noida +581 other locations
62,Dr. Reddy's,4.0,Pharma,8.2k,26k,14,516,Hyderabad +214 other locations
63,Optum Global Solutions,4.0,IT Services & Consulting,7.9k,50.7k,304,776,Hyderabad +68 other locations
64,JSW Steel,3.9,Iron & Steel,7.8k,31.6k,122,836,Ballari +198 other locations
65,JPMorgan Chase & Co.,3.8,Financial Services,7.8k,90.5k,737,881,Bengaluru +55 other locations
66,Delhivery,3.8,Logistics,7.8k,22.3k,197,616,Gurugram +760 other locations
67,ICICI Prudential Life Insurance,3.9,Insurance,7.7k,22.9k,200,488,Mumbai +508 other locations
68,Hexaware Technologies,3.4,IT Services & Consulting,7.7k,54.9k,379,831,Chennai +69 other locations
69,Ujjivan Small Finance Bank,4.0,Banking,7.6k,13.3k,89,329,Bengaluru +539 other locations
70,Jana Small Finance Bank,3.7,Banking,7.6k,14.6k,47,307,Bengaluru +422 other locations
71,Sun Pharmaceutical Industries,4.1,Pharma,7.6k,23.7k,427,679,Vadodara +263 other locations
72,HGS,3.7,Emerging Technologies,7.5k,20.5k,12,277,Bengaluru +122 other locations
73,Amazon Development Centre India,3.8,Internet,7.5k,39.1k,3,893,Hyderabad +147 other locations
74,Zydus Lifesciences,4.0,Pharma,7.4k,20.1k,44,478,Ahmedabad +180 other locations
75,Ekart Logistics,3.9,Logistics,7.4k,16.7k,3,411,Bengaluru +739 other locations
76,Lupin,4.1,Pharma,7.3k,22.5k,28,448,Pune +203 other locations
77,KPMG India,3.4,Management Consulting,7.3k,68k,108,940,Bengaluru +112 other locations
78,L&T Construction,4.0,Engineering & Construction,7.3k,19.3k,--,951,Chennai +435 other locations
79,Hindustan Unilever,4.2,FMCG,7.2k,20.2k,12,473,Mumbai +543 other locations
80,Axis Max Life Insurance,4.0,Insurance,7.2k,20.2k,156,414,New Delhi +505 other locations
81,ITC,3.9,FMCG,7.1k,24.9k,82,703,Bengaluru +378 other locations
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction,6.9k,18.6k,26,579,Hyderabad +407 other locations
83,Coforge,3.3,IT Services & Consulting,6.8k,50.8k,161,741,Noida +103 other locations
84,Tata Projects,4.2,Engineering & Construction,6.8k,22.7k,43,619,Mumbai +285 other locations
85,Bajaj Life Insurance,3.8,Insurance,6.6k,17.8k,77,451,Pune +616 other locations
86,Cholamandalam Investment & Finance,3.8,Financial Services,6.6k,12.8k,33,292,Chennai +861 other locations
87,L&T Technology Services,3.1,IT Services & Consulting,6.6k,44.3k,--,634,Bengaluru +94 other locations
88,FIS,3.8,FinTech,6.6k,39.2k,159,542,Pune +59 other locations
89,Oracle,3.4,Software Product,6.5k,64.3k,84,955,Bengaluru +56 other locations
90,Omega Healthcare,3.8,BPO,6.4k,27.5k,205,558,Chennai +69 other locations
91,JLL,4.1,Real Estate,6.4k,24.9k,382,494,Gurugram +86 other locations
92,Muthoot Finance,3.7,NBFC,6.3k,13.1k,160,359,Bengaluru +791 other locations
93,IIFL Finance,4.0,NBFC,6.3k,14.1k,53,332,Mumbai +808 other locations
94,eClerx,3.1,IT Services & Consulting,6.3k,32.9k,458,644,Pune +32 other locations
95,Indian Army,4.7,Defence & Aerospace,6.2k,9.4k,--,210,New Delhi +360 other locations
96,Virtusa Consulting Services,3.7,IT Services & Consulting,6.1k,57.3k,677,681,Hyderabad +55 other locations
97,DMart,3.9,Retail,6.1k,19k,251,557,Mumbai +254 other locations
98,HCL Group,3.5,IT Services & Consulting,6.1k,39.2k,--,522,Chennai +96 other locations
99,PolicyBazaar,3.8,Internet,6k,17.9k,1.2k,640,Gurugram +154 other locations
100,HSBC Group,3.8,Financial Services,6k,44.6k,139,554,Bengaluru +63 other locations
101,Piramal Finance,4.2,NBFC,6k,12.3k,6,298,Mumbai +427 other locations
102,Indiamart Intermesh,3.5,Internet,5.9k,21.8k,149,761,Noida +169 other locations
103,SMFG India Credit,3.9,NBFC,5.9k,11k,104,215,Mumbai +602 other locations
104,Access Healthcare,3.7,BPO,5.9k,29.4k,1.8k,406,Chennai +62 other locations
105,BigBasket,3.8,Internet,5.8k,19.5k,73,496,Bengaluru +143 other locations
106,Siemens,3.9,Industrial Automation,5.8k,34.6k,1.5k,513,Bengaluru +155 other locations
107,Aurobindo Pharma,4.0,Pharma,5.8k,20.6k,26,295,Hyderabad +115 other locations
108,ICICI Lombard General Insurance Company,3.5,Insurance,5.8k,20.1k,237,366,Mumbai +320 other locations
109,Firstsource Solutions,3.5,BPO,5.7k,24.7k,110,367,Bengaluru +74 other locations
110,Manappuram Finance,3.9,NBFC,5.7k,9.1k,30,229,Bengaluru +660 other locations
111,GlobalLogic,3.5,IT Services & Consulting,5.7k,41.4k,57,688,Hyderabad +61 other locations
112,Tata Capital,4.0,NBFC,5.7k,16.1k,3.3k,283,Mumbai +449 other locations
113,Udaan,3.9,Internet,5.7k,15.5k,11,373,Bengaluru +366 other locations
114,UST,3.7,IT Services & Consulting,5.7k,40.2k,59,594,Bengaluru +52 other locations
115,Shapoorji Pallonji Group,4.1,Engineering & Construction,5.7k,15.6k,72,435,Mumbai +189 other locations
116,Standard Chartered,3.6,Banking,5.7k,42.4k,--,327,Chennai +68 other locations
117,Apollo Hospitals,4.0,Healthcare,5.6k,16.8k,254,493,Chennai +225 other locations
118,Bosch Global Software Technologies,3.7,IT Services & Consulting,5.6k,41.1k,12,395,Bengaluru +47 other locations
119,Mahindra Finance,3.9,NBFC,5.6k,12.3k,102,223,Mumbai +736 other locations
120,Swiggy,3.7,Internet,5.6k,23.7k,211,588,Bengaluru +238 other locations
121,Ashok Leyland,4.0,Automobile,5.6k,18.9k,4,328,Chennai +265 other locations
122,Citicorp,3.6,Financial Services,5.5k,54.3k,--,638,Pune +68 other locations
123,Hero MotoCorp,4.1,Automobile,5.4k,16.1k,3,420,Gurugram +369 other locations
124,CGI Group,4.0,IT Services & Consulting,5.4k,46.8k,467,566,Bengaluru +43 other locations
125,Cyient,3.6,IT Services & Consulting,5.3k,27.8k,95,337,Hyderabad +49 other locations
126,BNY,3.6,Financial Services,5.3k,31.9k,104,405,Pune +27 other locations
127,SBI Cards & Payment Services,3.6,Financial Services,5.3k,16.2k,111,313,Gurugram +445 other locations
128,NTT DATA,3.8,IT Services & Consulting,5.2k,37.8k,14,758,Bengaluru +81 other locations
129,Kalpataru Projects International,4.2,Engineering & Construction,5.2k,13.7k,2,340,Mumbai +325 other locations
130,IQVIA,3.7,Clinical Research,5.2k,31.7k,32,565,Bengaluru +67 other locations
131,Nagarjuna Construction Company,4.0,Engineering & Construction,5.2k,12.5k,16,452,Hyderabad +298 other locations
132,JustDial,3.5,Internet,5.1k,15.4k,48,396,Noida +234 other locations
133,Schneider Electric,4.1,Industrial Automation,5.1k,25.6k,533,463,Bengaluru +121 other locations
134,CBRE,4.1,Real Estate,5.1k,19.1k,165,356,Hyderabad +92 other locations
135,SBI Life Insurance Company,3.7,Insurance,5.1k,12.1k,13,316,Mumbai +656 other locations
136,TVS Motor,3.9,Automobile,5.1k,16.3k,119,415,Hosur +351 other locations
137,Persistent Systems,3.6,IT Services & Consulting,5k,46.3k,289,716,Pune +42 other locations
138,State Bank of India,3.8,Banking,4.9k,11.8k,2,320,Mumbai +622 other locations
139,Atos,3.8,IT Services & Consulting,4.9k,33.7k,85,412,Pune +49 other locations
140,KEC International,4.0,Engineering & Construction,4.9k,13.6k,20,426,Mumbai +316 other locations
141,vivo,4.1,Consumer Electronics & Appliances,4.9k,12.8k,18,245,Noida +414 other locations
142,ITC Infotech,3.8,IT Services & Consulting,4.9k,30k,67,423,Bengaluru +68 other locations
143,Amdocs,3.6,Software Product,4.9k,37.7k,13,563,Pune +24 other locations
144,Ecom Express,4.1,Logistics,4.8k,9.4k,--,266,Gurugram +776 other locations
145,JBM Group,3.9,Auto Components,4.8k,14k,163,356,Gurugram +118 other locations
146,Varun Beverages,4.0,Beverage,4.8k,12.4k,51,356,New Delhi +383 other locations
147,Eviden,3.6,IT Services & Consulting,4.8k,27k,--,316,Pune +39 other locations
148,Nagarro,3.9,IT Services & Consulting,4.7k,33.1k,310,838,Gurugram +48 other locations
149,Utkarsh Small Finance Bank,3.6,Banking,4.7k,11.1k,25,314,Varanasi +416 other locations
150,Randstad,3.7,Recruitment,4.7k,16.9k,13,335,Hyderabad +365 other locations
151,Bosch,4.1,Auto Components,4.7k,21.2k,--,385,Bengaluru +132 other locations
152,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting,4.7k,52k,8,896,Bengaluru +56 other locations
153,Hewlett Packard Enterprise,4.0,IT Services & Consulting,4.6k,27.6k,256,270,Bengaluru +104 other locations
154,L&T Finance,3.9,NBFC,4.6k,11.7k,--,224,Mumbai +647 other locations
155,Aditya Birla Fashion and Retail,4.0,Fashion & Textile,4.6k,13.2k,59,269,Bengaluru +292 other locations
156,Havells,3.9,Electrical Equipment,4.6k,15.3k,34,298,Noida +264 other locations
157,Cars24,3.4,Internet,4.6k,15.6k,68,411,Gurugram +172 other locations
158,Mahindra Logistics,3.7,Logistics,4.6k,12.9k,160,254,Mumbai +233 other locations
159,Intas Pharmaceuticals,4.1,Pharma,4.6k,17.4k,48,264,Ahmedabad +150 other locations
160,R1 RCM,3.8,BPO,4.6k,22.3k,190,364,New Delhi +48 other locations
161,Home Credit Finance,4.0,NBFC,4.5k,9.3k,106,152,Gurugram +139 other locations
162,Dell,3.8,Consumer Electronics & Appliances,4.5k,29.1k,42,430,Bengaluru +114 other locations
163,Tata AIA Life Insurance,3.9,Insurance,4.5k,14.3k,897,258,Mumbai +448 other locations
164,Hetero,3.9,Pharma,4.5k,15.2k,77,347,Hyderabad +70 other locations
165,Deutsche Bank,3.9,Banking,4.5k,37.6k,550,427,Pune +42 other locations
166,OPPO,3.9,Consumer Electronics & Appliances,4.4k,11.7k,10,256,Greater Noida +406 other locations
167,Berger Paints,3.7,Chemicals,4.4k,10.7k,115,437,Kolkata +364 other locations
168,Hyundai Motor India Limited,4.1,Automobile,4.4k,14.3k,1,327,Chennai +289 other locations
169,Lenskart,3.3,Internet,4.4k,13.2k,180,465,New Delhi +248 other locations
170,Motilal Oswal Financial Services,3.7,Financial Services,4.4k,13.1k,49,553,Mumbai +169 other locations
171,TeamLease Services,3.9,Recruitment,4.4k,16.4k,--,254,Bengaluru +403 other locations
172,VE Commercial Vehicles,3.9,Automobile,4.3k,14.3k,27,292,Indore +180 other locations
173,Thermax Limited,4.2,Industrial Machinery,4.3k,13.3k,53,349,Pune +256 other locations
174,Jubilant Foods Works,3.7,Hospitality,4.2k,9.6k,326,257,Noida +267 other locations
175,Carelon Global Solutions,3.9,IT Services & Consulting,4.2k,28.9k,84,425,Bengaluru +20 other locations
176,Macleods Pharmaceuticals,3.7,Pharma,4.2k,15.8k,36,270,Mumbai +136 other locations
177,Aakash Educational Services,3.2,Education & Training,4.2k,14.1k,86,380,New Delhi +249 other locations
178,Bajaj Auto,3.8,Automobile,4.2k,14.7k,40,329,Pune +323 other locations
179,LG Electronics,3.8,Consumer Electronics & Appliances,4.1k,11.3k,12,262,Pune +300 other locations
180,Jindal Steel Limited,3.9,Iron & Steel,4.1k,16k,72,431,Angul +173 other locations
181,Kogta Financial India Limited,4.7,NBFC,4.1k,1.9k,139,252,Jaipur +260 other locations
182,State Street Corporation,3.5,Financial Services,4.1k,33.4k,12,297,Bengaluru +35 other locations
183,Hindalco Industries,4.2,Metals & Mining,4.1k,12.9k,27,315,Sambalpur +130 other locations
184,Cloudnine Hospital,4.5,Healthcare,4.1k,3k,16,1.4k,Bengaluru +46 other locations
185,Royal Enfield,4.2,Automobile,4.1k,14.9k,4,205,Chennai +373 other locations
186,HDFC ERGO General Insurance,4.0,Insurance,4k,12k,73,203,Mumbai +325 other locations
187,John Deere,4.0,Industrial Machinery,4k,15.6k,5,268,Pune +154 other locations
188,DCB Bank,3.8,Banking,4k,9.7k,18,234,Mumbai +345 other locations
189,Tata Communications,3.9,Telecom,4k,23.6k,209,304,Pune +100 other locations
190,RBL Bank,3.5,Banking,4k,18.6k,30,246,Mumbai +290 other locations
191,Cummins,4.3,Industrial Machinery,4k,15.6k,112,292,Pune +115 other locations
192,Publicis Sapient,3.2,IT Services & Consulting,4k,32.6k,215,704,Bengaluru +46 other locations
193,Bank of America,4.1,Banking,3.9k,29.7k,--,295,Gurugram +34 other locations
194,Alembic Pharmaceuticals,3.9,Pharma,3.9k,15.4k,70,259,Vadodara +187 other locations
195,Pidilite Industries,4.2,Chemicals,3.9k,11.8k,28,267,Mumbai +319 other locations
196,Oyo Rooms,3.0,Internet,3.9k,14k,149,259,Gurugram +121 other locations
197,Grasim Industries,4.0,Building Material,3.9k,13.1k,5,289,Bharuch +259 other locations
198,Aditya Birla Sun Life Insurance,4.0,Insurance,3.9k,10.4k,1,185,Mumbai +503 other locations
199,American Express,4.1,Financial Services,3.9k,25.6k,45,432,Gurugram +54 other locations
200,Kyndryl,4.0,IT Services & Consulting,3.8k,27.4k,2,234,Bengaluru +39 other locations
201,Subros,3.8,Auto Components,3.8k,12.7k,2,220,Noida +88 other locations
202,PNB MetLife,3.3,Insurance,3.8k,8.3k,21,196,New Delhi +431 other locations
203,ADP Private Limited,3.9,Software Product,3.8k,22.3k,60,294,Hyderabad +41 other locations
204,Altruist Technologies,4.4,BPO,3.8k,8.4k,6,724,Bengaluru +43 other locations
205,Aditya Birla Capital,3.8,NBFC,3.8k,14.3k,--,262,Mumbai +344 other locations
206,XpressBees,4.2,Logistics,3.8k,8.2k,11,446,Pune +479 other locations
207,Viatris,4.1,Pharma,3.8k,14.2k,3,170,Hyderabad +80 other locations
208,Escorts Kubota Limited,4.1,Industrial Machinery,3.8k,13.8k,1,305,Faridabad +157 other locations
209,PVR INOX,3.9,Media & Entertainment,3.8k,9.5k,28,219,New Delhi +151 other locations
210,Reliance Communications,4.0,Telecom,3.8k,9.4k,--,107,Mumbai +465 other locations
211,Maersk,4.0,Logistics,3.8k,19.3k,53,253,Chennai +49 other locations
212,KPIT Technologies,2.9,Software Product,3.8k,23.8k,28,349,Pune +43 other locations
213,Birlasoft,3.4,IT Services & Consulting,3.7k,29.9k,657,317,Pune +49 other locations
214,Synechron,3.4,IT Services & Consulting,3.7k,28.6k,98,408,Pune +33 other locations
215,JK Cement,4.0,Building Material,3.7k,10.2k,1,345,New Delhi +333 other locations
216,Glenmark Pharmaceuticals,3.8,Pharma,3.7k,12.4k,114,183,Mumbai +188 other locations
217,Kotak Mahindra Life Insurance Company,3.5,Insurance,3.7k,12.5k,170,264,Mumbai +258 other locations
218,Bharat Electronics,4.2,Electronics Manufacturing,3.7k,12.8k,1,249,Bengaluru +87 other locations
219,Sodexo,4.0,Facility Management Services,3.7k,9.9k,944,210,Mumbai +161 other locations
220,Dabur,3.8,FMCG,3.7k,9k,37,336,New Delhi +319 other locations
221,Cogent E Services,3.1,BPO,3.6k,10.4k,2,297,Noida +57 other locations
222,Godrej & Boyce Manufacturing,3.9,Consumer Electronics & Appliances,3.6k,15.1k,53,234,Mumbai +168 other locations
223,Abbott,4.1,Pharma,3.6k,12.1k,251,184,Mumbai +214 other locations
224,PhonePe,4.0,FinTech,3.6k,13.5k,126,433,Bengaluru +400 other locations
225,Samvardhana Motherson Group,3.7,Auto Components,3.6k,11.9k,30,260,Noida +94 other locations
226,Ipca Laboratories,3.8,Pharma,3.6k,11.5k,47,214,Mumbai +162 other locations
227,Aarti Industries,4.1,Agro Chemicals,3.6k,14.5k,65,334,Bharuch +59 other locations
228,Reliance Projects & Property Management Services,4.0,Other,3.6k,7.3k,--,215,Kolkata +625 other locations
229,Blinkit,3.8,Internet,3.6k,13.6k,--,369,Gurugram +156 other locations
230,UNO Minda,4.0,Auto Components,3.6k,11.5k,63,266,Pune +110 other locations
231,Reliance Digital,4.1,Retail,3.6k,8.3k,--,172,Mumbai +380 other locations
232,IGT Solutions,3.2,BPO,3.5k,13.9k,74,257,New Delhi +47 other locations
233,MRF Tyres,3.6,Auto Components,3.5k,13.1k,19,382,Chennai +194 other locations
234,Indian Oil Corporation,4.3,Oil & Gas,3.5k,7.9k,--,242,New Delhi +310 other locations
235,ArcelorMittal Nippon Steel India,4.1,Iron & Steel,3.5k,12.4k,8,280,Surat +87 other locations
236,Johnson Controls,3.5,Industrial Automation,3.5k,17.8k,5,307,Pune +58 other locations
237,Alkem Laboratories,3.9,Pharma,3.5k,9.9k,23,202,Mumbai +199 other locations
238,"NTT DATA, Inc.",3.9,IT Services & Consulting,3.5k,20.8k,89,156,Bengaluru +37 other locations
239,Honda Motorcycle & Scooter,4.1,Automobile,3.5k,11.2k,--,207,Gurugram +300 other locations
240,[24]7.ai,3.4,Software Product,3.5k,11.7k,66,191,Bengaluru +36 other locations
241,Vishal Mega Mart,3.7,Retail,3.4k,6.2k,4,216,New Delhi +378 other locations
242,UBS,3.8,Financial Services,3.4k,32.2k,2,377,Pune +19 other locations
243,Hindustan Coca Cola Beverages,4.0,Beverage,3.4k,7.9k,56,184,Bengaluru +263 other locations
244,Barclays,3.7,Banking,3.4k,33.5k,--,323,Pune +38 other locations
245,Bajaj General Insurance Limited,3.7,Insurance,3.4k,11k,381,141,Pune +306 other locations
246,IndusInd Nippon Life Insurance,3.4,,3.4k,8.1k,1,172,
247,ABB,4.0,Industrial Machinery,3.4k,18.5k,425,297,Bengaluru +108 other locations
248,DTDC Express,3.7,Logistics,3.4k,8.9k,38,198,New Delhi +273 other locations
249,Ceat Tyres,3.9,Auto Components,3.4k,13.1k,49,213,Nagpur +141 other locations
250,Ford Motor,4.2,Automobile,3.4k,15.5k,1,176,Chennai +130 other locations
251,TVS Credit Services Ltd,4.2,NBFC,3.4k,7.4k,30,164,Chennai +442 other locations
252,NatWest Group,3.9,Banking,3.3k,21.4k,51,237,Gurugram +29 other locations
253,RSPL Group,4.1,FMCG,3.3k,9.9k,86,260,Kanpur +256 other locations
254,AGS Health,4.0,Analytics & KPO,3.3k,14.7k,48,217,Chennai +64 other locations
255,HARMAN,3.8,Consumer Electronics & Appliances,3.3k,24.2k,119,295,Bengaluru +42 other locations
256,Croma,3.8,Retail,3.3k,9.3k,38,189,Mumbai +192 other locations
257,Conduent,3.4,BPO,3.3k,17.2k,315,239,Bengaluru +35 other locations
258,Niva Bupa Health Insurance Company,4.0,Insurance,3.3k,8.5k,133,379,New Delhi +323 other locations
259,Alstom Transportation,3.7,Engineering & Construction,3.3k,15.5k,242,283,Bengaluru +80 other locations
260,InterGlobe Aviation,3.5,Aviation,3.3k,13.5k,38,377,New Delhi +104 other locations
261,Indian Air Force,4.6,Defence & Aerospace,3.3k,5.2k,2,86,New Delhi +134 other locations
262,Tata Technologies,3.4,Engineering & Construction,3.2k,23.2k,137,314,Pune +57 other locations
263,Tata AIG,4.0,Insurance,3.2k,11.7k,111,195,Mumbai +261 other locations
264,GeBBS Healthcare Solutions,3.8,BPO,3.2k,11.3k,85,186,Mumbai +26 other locations
265,UPL,4.1,Agro Chemicals,3.2k,11.1k,32,223,Ankleshwar +184 other locations
266,Allcargo Logistics,3.8,Logistics,3.2k,7k,34,139,Mumbai +175 other locations
267,Canara HSBC Life Insurance,4.1,Insurance,3.2k,6.2k,--,537,Gurugram +358 other locations
268,PepsiCo,4.0,Food Processing,3.2k,13.9k,208,247,Hyderabad +281 other locations
269,Max Healthcare,4.0,Healthcare,3.1k,10.5k,139,190,New Delhi +76 other locations
270,Sagility,3.9,BPO,3.1k,12.5k,101,250,Bengaluru +28 other locations
271,Dilip Buildcon,3.9,Engineering & Construction,3.1k,7.9k,12,189,Bhopal +230 other locations
272,Mankind Pharma,3.8,Pharma,3.1k,9.6k,7,258,New Delhi +247 other locations
273,Marpu Foundation,4.9,Non-Profit,3.1k,61,--,266,Hyderabad +61 other locations
274,Amazon Transportation Services,4.2,Logistics,3.1k,8.5k,--,259,Hyderabad +223 other locations
275,Titan Company,4.2,Retail,3.1k,9.7k,115,208,Bengaluru +184 other locations
276,Jindal Stainless,4.2,Iron & Steel,3.1k,11.6k,102,325,Jajpur +77 other locations
277,Walmart,3.5,Retail,3.1k,23.7k,288,445,Bengaluru +91 other locations
278,Societe Generale Global Solution Centre,3.6,IT Services & Consulting,3.1k,23.4k,90,303,Bengaluru +23 other locations
279,Varroc Group,3.6,Auto Components,3.1k,9.6k,25,224,Pune +61 other locations
280,S&P Global,4.0,Analytics & KPO,3.1k,20.8k,304,334,Hyderabad +47 other locations
281,MSN Laboratories,3.6,Pharma,3.1k,9.6k,30,179,Hyderabad +105 other locations
282,Quest Global,3.5,IT Services & Consulting,3.1k,21.6k,217,365,Bengaluru +49 other locations
283,Afcons Infrastructure,4.2,Engineering & Construction,3.1k,8.7k,37,269,Mumbai +123 other locations
284,Torrent Pharmaceuticals,4.0,Pharma,3.1k,10.5k,31,173,Ahmedabad +131 other locations
285,Ola Electric Mobility,3.3,Automobile,3k,9.6k,--,311,Bengaluru +436 other locations
286,ESAF Small Finance Bank,3.6,Banking,3k,7.5k,60,172,Thrissur +456 other locations
287,IDFC FIRST Bharat,4.2,Financial Services,3k,5.2k,9,155,Chennai +440 other locations
288,Future Group,4.3,Retail,3k,6.4k,--,84,Mumbai +207 other locations
289,Square Yards,3.6,Internet,3k,9.4k,84,231,Gurugram +51 other locations
290,HDFC Sales,3.9,Financial Services,3k,8.4k,48,197,Mumbai +350 other locations
291,CMS IT Services,3.1,IT Services & Consulting,3k,9.4k,46,160,Mumbai +152 other locations
292,Zensar Technologies,3.7,IT Services & Consulting,3k,25.8k,406,283,Pune +29 other locations
293,Tata Elxsi,3.4,IT Services & Consulting,3k,23.6k,53,344,Bengaluru +30 other locations
294,DS Group,4.1,FMCG,3k,7.4k,57,227,Noida +285 other locations
295,Bharat Financial Inclusion,3.7,Financial Services,3k,5.2k,6,126,Hyderabad +503 other locations
296,I Process Services,3.8,Recruitment,3k,5.5k,--,138,Mumbai +405 other locations
